Capillary Pressure,Saturation
nan,1.0
nan,1.0
nan,1.0
nan,1.0
nan,1.0
nan,1.0
0.08128738403320312,0.9990639929115868
0.14612996578216553,0.9967029413233983
0.15674692392349243,0.9920807490160094
0.17275065183639526,0.9853275630424437
0.18599635362625122,0.975469252430069
0.19084608554840088,0.961732822560926
0.18409693241119385,0.9405359429351184
0.19585639238357544,0.9130814878305933
0.1960057020187378,0.8786227549633353
0.20331817865371704,0.8431189018217958
0.20897310972213745,0.8045099240414473
0.2237340211868286,0.7679938160430563
0.23511385917663574,0.7322940850136326
0.24246644973754883,0.6972595500329969
0.2559201121330261,0.6654116459263972
0.2551996111869812,0.6319046955479191
0.25238239765167236,0.5977233468037724
0.2526291012763977,0.5645621406166604
0.2547292709350586,0.5312760458433134
0.2524533271789551,0.4955736855804953
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
