Capillary Pressure,Saturation
nan,1.0
nan,1.0
nan,1.0
nan,1.0
nan,1.0
nan,1.0
nan,1.0
0.04020273685455322,0.9984796393679555
0.13651257753372192,0.9928392891219135
0.15692651271820068,0.9829913564682585
0.15772956609725952,0.9681975592893722
0.15544933080673218,0.945345225097838
0.15171349048614502,0.9150568883911394
0.1415138840675354,0.8730561438523936
0.1376919150352478,0.8119664269335327
0.13853585720062256,0.7476076218243702
0.16719359159469604,0.6903281914277938
0.18896889686584473,0.6348256434159938
0.21676886081695557,0.5856391614866999
0.23503154516220093,0.5366591482852147
0.22604060173034668,0.47930463835125336
0.22487568855285645,0.4224225038400055
0.22238916158676147,0.36884386897369403
0.21631813049316406,0.3149899424703045
0.21322417259216309,0.27094015222376205
0.21290534734725952,0.242256640628666
0.2048403024673462,0.22139078586377445
0.18867331743240356,0.20454794297709136
0.19374358654022217,0.19410875896653018
0.19979697465896606,0.18530881152220632
0.20979130268096924,0.17779460115559922
0.218356192111969,0.171065597617476
0.2243162989616394,0.16496225689089378
0.23022419214248657,0.1594595524633909
0.23737508058547974,0.15456061264902507
0.24666357040405273,0.15007461029027627
0.2521399259567261,0.14533834280691107
0.2555721402168274,0.14058956206731507
0.2557615041732788,0.13629751518014396
0.2569757103919983,0.13223696353324302
0.2560804486274719,0.12803250943968766
0.25907933712005615,0.12437238199217296
0.2655101418495178,0.12136607218271857
0.2682071328163147,0.11799687794257041
0.26972711086273193,0.11441808666055603
0.27630531787872314,0.11162450220702556
0.2813416123390198,0.10877460810045642
0.28755658864974976,0.10611241283734957
0.2937411665916443,0.10348775734293517
0.29161208868026733,0.10009979321844079
0.2930859327316284,0.09687450142494705
0.2946445941925049,0.09371490422666512
0.3046841025352478,0.09143749159265598
0.3130170702934265,0.08913192413212748
0.32059943675994873,0.08686389644029144
0.32181107997894287,0.08391076796981803
0.3235483765602112,0.081207904623961
0.32585519552230835,0.07869274012156628
0.3318560719490051,0.07659989801696172
0.3371127247810364,0.07446638782960699
0.3435261845588684,0.07251431985759914
0.34642738103866577,0.0703119867609749
0.3513871431350708,0.06826606936723592
0.3571717143058777,0.06636092610609365
0.3617064356803894,0.06443388464654744
0.3638600707054138,0.062453661848020245
0.3668062090873718,0.06091765964568715
0.36934906244277954,0.05959751111333569
0.37106436491012573,0.05828987583721505
0.3682764768600464,0.056728847122420316
0.36954838037490845,0.05569963179743541
0.37175846099853516,0.05472359781143148
0.3740249276161194,0.053772590337889205
0.3764186501502991,0.05285912263303938
0.3793907165527344,0.05201447783745906
0.3820797801017761,0.05116670472782103
0.38607150316238403,0.05044406418049121
0.38838809728622437,0.049602547698968595
0.3899245858192444,0.04871410650658041
0.3920457363128662,0.04788197496723091
0.39477139711380005,0.0471092813949778
0.39831626415252686,0.04641166736010962
0.400418758392334,0.04561394727539487
0.4037763476371765,0.044919461554584386
0.40628278255462646,0.04417179449479292
0.4077819585800171,0.04336781778196277
0.4091756343841553,0.04260763746594048
0.4102659225463867,0.041784890868764094
0.4111090898513794,0.04095901595753001
0.41088008880615234,0.04013314104629592
0.4147363305091858,0.03951999149098576
0.4163728356361389,0.03875981117496348
0.41922980546951294,0.03807471039632611
0.4228368401527405,0.0374302777004389
0.4248659610748291,0.036682610640647435
0.42522597312927246,0.03587863392781728
0.42499595880508423,0.03507778552904483
0.4273040294647217,0.03444586608938845
0.43058663606643677,0.03387651293088616
0.43376803398132324,0.03330715977238387
0.43613582849502563,0.032700266845189126
